    -0.30   0.000000000   1.094813771   -0.789196930   -152.5782121321
    -0.25   0.000000000   1.176305091   -0.837391621   -152.6484642195
    -0.20   0.000000000   1.260883698   -0.886475364   -152.6948638226
    -0.15   0.000000000   1.349190635   -0.937382463   -152.7242182147
    -0.10   0.000000000   1.442335221   -0.991124065   -152.7414024088
    -0.05   0.000000000   1.541786165   -1.048779944   -152.7499267450
     0.00   0.000000000   1.649215374   -1.111514246   -152.7523238295
     0.05   0.000000000   1.766710039   -1.180688319   -152.7504429547
     0.10   0.000000000   1.896171313   -1.257439007   -152.7456222662
     0.15   0.000000000   2.039530079   -1.342794072   -152.7388433732
     0.20   0.000000000   2.198363658   -1.437624663   -152.7308307255
     0.25   0.000000000   2.373912479   -1.542480597   -152.7221132231
     0.30   0.000000000   2.567026692   -1.657584152   -152.7130794937
     0.35   0.000000000   2.778014536   -1.782885476   -152.7040140734
     0.40   0.000000000   3.006910780   -1.918044857   -152.6951101370
