    -0.40   0.000000000   1.522674974   1.065829458   -152.3053540183
    -0.35   0.000000000   1.589873618   1.083451526   -152.4638221156
    -0.30   0.000000000   1.660427915   1.104827588   -152.5726503881
    -0.25   0.000000000   1.735693531   1.130419551   -152.6464377954
    -0.20   0.000000000   1.816857151   1.160583150   -152.6952941429
    -0.15   0.000000000   1.905061933   1.195652442   -152.7263175935
    -0.10   0.000000000   2.001507784   1.236008380   -152.7445575027
    -0.05   0.000000000   2.107530910   1.282122131   -152.7536446595
     0.00   0.000000000   2.224620852   1.334564422   -152.7562122414
     0.05   0.000000000   2.354444534   1.394016089   -152.7541839101
     0.10   0.000000000   2.498830270   1.461261164   -152.7489744617
     0.15   0.000000000   2.659730742   1.537170978   -152.7416309882
     0.20   0.000000000   2.839165762   1.622671019   -152.7329328547
     0.25   0.000000000   3.039150204   1.718711973   -152.7234628779
     0.30   0.000000000   3.261597263   1.826222993   -152.7136582440
     0.35   0.000000000   3.508236553   1.946086264   -152.7038471763
     0.40   0.000000000   3.780502230   2.079089082   -152.6942755575
     0.45   0.000000000   4.079447785   2.225883371   -152.6851263756
     0.50   0.000000000   4.405595427   2.386930943   -152.6765337782
     0.55   0.000000000   4.758776302   2.562411753   -152.6685925705
     0.60   0.000000000   5.137856648   2.752079680   -152.6613631589
     0.65   0.000000000   5.540388153   2.955055287   -152.6548711728
     0.70   0.000000000   5.962198984   3.169566042   -152.6491004391

